"User","Date","Rating","Title","Comment"
"MrDHWong","14 December 2023","
            7/10
            "," A whimsical, fun film that captures the spirit of Roald Dahl and is sure to entertain the younger crowd
","""Wonka"" is a musical fantasy film that serves as an origin story of the character of Willy Wonka from the novel ""Charlie and the Chocolate Factory"" by Roald Dahl. Directed by Paul King (""Paddington"" 1 and 2) and starring Timothée Chalamet in the lead role, it is a whimsical, fun film that captures the spirit of Roald Dahl and is sure to entertain the younger crowd.In an unnamed European town, inventor and magician Willy Wonka (Timothée Chalamet) arrives to fulfil his childhood dream of running his own chocolate shop. Searching for a place to stay, Wonka stumbles upon a laundromat run by the suspicious Mrs. Scrubbit (Olivia Colman), who offers him a room so long as he signs a contract. After failing to read the fine print, Wonka finds himself in debt to Mrs. Scrubbit and is forced to work around the clock to earn his freedom. While labouring away, Wonka meets five other people who are also indebted to Mrs. Scrubbit's contract; young orphan Noodle (Calah Lane), plumber Piper (Natasha Rothwell), accountant Abacus (Jim Carter), phone operator Lottie (Rakhee Thakrar), and comedian Larry (Rich Fulcher). The five prisoners inform Wonka that the city is controlled by the ""Chocolate Cartel"", a trio of greedy chocolate makers - Mr. Slugworth (Paterson Joseph), Mr. Prodnose (Matt Lucas), and Mr. Fickelgruber (Mathew Boynton) - who are fiercely determined to eliminate any potential competition. Wonka teams up with his five new friends to hatch a scheme to bring down the cartel and make his chocolate available to everyone no matter their financial situation.One of the most popular children's stories of the twentieth century is Roald Dahl's ""Charlie and the Chocolate Factory"", the timeless tale of a young boy named Charlie Bucket who is given the opportunity to meet the eccentric chocolatier Willy Wonka and visit his mysterious chocolate factory. Since it was first published back in 1964, the story has become a favourite among children the world over, with many like myself growing up reading it at school. Further cementing the story's popularity was the 1971 film adaptation ""Willy Wonka and the Chocolate Factory"" and to a lesser extent Tim Burton's 2005 film ""Charlie and the Chocolate Factory"". Regardless of which of the two films you prefer, their success at the box office proves that the story is as renowned as it ever was, with the character of Willy Wonka attracting the most attention due to his quirky personality. The 2023 film ""Wonka"" gives us an origin story of the title character in a movie that should keep both children and adults entertained for most of the time.Although I'm not entirely sure if we needed to know about the origins of Willy Wonka, this film shows just barely enough about him to still retain that necessary air of mystery without completely ruining his character. When we first meet the young Wonka, he is shown to be ambitious about opening a chocolate shop, singing his passion for the sweet treat loudly from high atop a ship's mast. Upon arriving at his destination, Wonka learns to his dismay that this place is dreary, depressing, and has little time for fun-loving individuals like himself. In fact, no less than three minutes later, Wonka is even forced to pay a fine for daydreaming out in public. Things take a turn for the worst when Wonka is essentially forced into slavery to pay off a huge debt due to his inability to read a contract's fine print as a result of his illiteracy.In spite of all his hardships, Wonka's spirit remains untarnished as he is determined to share his wondrous treats with the world, no matter who or what stands in his way. What I enjoyed here was how the film was able to balance Wonka's confident oddball personality with that of him being the underdog in a new town, staying true to himself but still acknowledging the uphill battle he has to succeed in this harsh world. This is an important message that people of all ages can learn from, since becoming successful is not always an easy task and doing so without sacrificing your own integrity is a challenge within itself. As a result, the otherwise off-putting Willy Wonka becomes a relatable character the audience can find themselves identifying with.Being a musical, there are numerous moments in the film where characters break into song whenever it is necessary for them to communicate their inner monologues. While the songs were all fine and served their intended purpose, I found that most of them weren't all that memorable. The one original musical number I liked the most was near the beginning, where Wonka learns about the fates of his five co-workers/prisoners and how they are doomed to ""Scrub Scrub"" until all their debts are paid. The reason I enjoyed this the most was because it is done in the most Roald Dahl way possible, complete with word play, dark humour, and crackpot villains.Additionally, there are also some variations on the classic tunes from the 1971 film. For instance, the ""Oompa Loompa"" song makes not one but two appearances here, sung by an Oompa Loompa named Lofty (Hugh Grant). Instead of singing about misbehaving children, Lofty sings about why he is no longer welcome among his peers, which is both sad and funny once you learn the actual reason. The older viewers might appreciate the callbacks to the original ""Willy Wonka and the Chocolate Factory"" film and I'm certain the younger viewers will like the newer songs, but I can't really see any of them getting stuck in people's heads once the movie has finished.As the title character, I liked the youthful spin Timothée Chalamet was able to add to an already exceptionally outlandish individual. His take on Willy Wonka is that of an experienced young man who seems ready to take on the world, only to find that not everyone is there to support him in his endeavours. Chalamet's Wonka seems to be unique among his predecessors in that he does not seem to be the younger version of either one, although he does show some of the condescending traits of Gene Wilder's version and the melancholic insecurities of Johnny Depp's version. This almost seems like a compromise of sorts, as though the filmmakers tried to combine both Wilder's and Depp's Wonkas into one so as not to alienate the fans too much. I would say this does work for the most part, however, I personally think they should have just picked one and gone with that instead.Most of the supporting cast were quite good, especially Wonka's five co-workers turned friends who assist him on his mission. With that in mind, Noodle is clearly the main one out of the five that receives the most attention in the story. Although I did like the idea of her being Wonka's street smart friend, I think there was one important thing about her character that is never explained. Early in the film, we learn that Wonka is illiterate, struggling to comprehend even single letters of the alphabet, which is where Noodle comes in to teach him how to read. Being an orphan who never went to school, how did Noodle become intelligent enough to be able to educate a grown man on the basics of reading and writing? We never find out how she acquired this level of education, so this seems like a major plot hole the movie glosses over. I'm not sure if this is the film's way of saying children are sometimes smarter than adults, but it would have been nice to have been provided some explanation as to how an orphan raised on the streets is capable of teaching an adult man comprehensive English skills.I thought the three main villains were rather amusing at times, but Mr. Slugworth is clearly the leader of the trio. Slugworth is shown to be the brains of this whole operation, which is established by the firm, aggressive handshake he gives to everyone he meets. This film treats him and his two colleagues as though they are running some kind of narcotics ring, only with chocolate instead of drugs. I suppose this would make Slugworth the Gus Fring of chocolatiering, which is made evident by his widespread infamy over the entire town. On that note, I just wish we could have seen more of Mr. Prodnose's and Mr. Fickelgruber's intimidating influence throughout the story. It just seems like all of Matt Lucas's and Mathew Baynton's comedic talents are going to waste here, as their characters serve little purpose other than to agree with everything Slugworth says.Though far from essential viewing, ""Wonka"" still serves its purpose as an enjoyable origin story of the most famous fictional chocolate maker in all of children's literature. It may not instil the same level of wonder as the other two feature films before it, but it provides just enough entertainment for a casual viewing with the whole family. Had the film placed more focus on developing its supporting cast and fixing some plot holes, I would be inclined to give it a wider recommendation. Still, you could definitely do a whole lot worse than what we got so all I can say is just sit back and enjoy it for what it is.I rate it 7/10."
"burntoutboy","8 December 2023","
            10/10
            "," Wonderfully musically chocolate fun
","I had high hopes with Wonka mainly due to the fact Paul King was directing. Paddington 1 &2 are some of the best family films ever made and their charm makes them a great watch every time. Wonka now joins that list.First off, the production design is spectacular. It really is pure imagination. The costumes, set pieces, songs and casting were all fantastic. The pacing was spot on and no time did I feel bored or that it dragged.Hugh Grant as an oompa loompa was brilliant but for me Timothee Chalamet stole the show. His singing and acting was fantastic and really immersed you in the Wonka story.2023 has been a fantastic year for film and Wonka rounds off the year perfectly. A must watch!"
"eddie_baggins","14 December 2023","
            8/10
            "," 2023's most enjoyable holiday hit
","Proving that his work on the one two punch that was Paddington and then it's universally praised sequel was not per chance, British director Paul King has managed to bring the same amount of energy, charm, heart and smarts he delivered with his marmalade loving bear to this high profile Willy Wonka prequel that should become the crowd pleasing hit of this years festive/holiday period.Utilising his comedy background and career making work on the cult UK TV series The Mighty Boosh (fans of which will be pleased to see a key role for Rich Fulcher here), King ensures that his musical infused adventure that follows Timothée Chalamet's young Willy Wonka during his first attempts to conquer the chocolate world with his magical inventions and colorful showmanship, is a film that constantly is on the move and one that ensures it's filled to the brim with wonder, whimsy and wackiness that should find it appealing to a wide ranging age-group and audience.It's not as though the world was exactly crying out to find out more about the beloved character many of us fell in love with either in Roald Dahl's original book or the Gene Wilder starring classic film from 1971 but King and his screenwriting partner Simon Farnaby instantly make us engaged and interested in this tale that has a wide ranging reach and works in a number of facets without ever losing momentum.Rarely pausing for breath between its colourful character interactions, enjoyable song and dance numbers and more poignant aspects that make Wonka more than just all sugar and no substance, King's enjoyable ride harbours a clear labour of love at its core that gels perfectly with its more old-school film-making vibe and delivery that once more acts as an example that Hollywood's incessant nature to try and be ""hip"" and boundary pushing isn't always needed to find a winning formula.Within King's winning Wonka formula he has managed to create and gift a number of memorably fun performances from his talented cast and while Chalamet gives it his best shot in easily his most challenging performance yet, his role as Willy Wonka doesn't always seem ideally suited to his acting sensibilities, it's in the supporting cast that Wonka finds its comedic gold.From Olivia Colman's yellow-toothed nasty Mrs. Scrubbit, Tom Davis's wild-haired Bleacher, Keegan-Michael Key's sweet-toothed police chief and Hugh Grant's (bizarrely controversial) scene-stealing Oompa-Loompa, Wonka's cast of newbies and industry vets alike all have a blast playing their parts here and Wonka's overall feeling and end result seems to be the product of a film that was a lot of fun to make and bring to life.There may not be any groundbreaking new messages taking place here and I don't suspect Wonka will ever be regarded as the type of family friendly all-time classic as its original source material or first film iteration are seen as but it would take a hard-hearted and Scrubbit like viewer to not find enjoyment from such an entertaining and imaginative new take on one of the worlds most well-known properties.Final Say -Another resounding success for director Paul King, who has here further established his reputation as the leader of family friendly cinematic adventures, Wonka is a charming and enjoyable big screen ride that deserves to be this years most resounding holiday hit.4 unsolved murders out of 5.Jordan and Eddie (The Movie Guys)"
"masonsaul","9 December 2023","
            8/10
            "," The best version of a cynical idea
","On paper, Wonka is a cynical cash grab of an idea but in the hands of the extremely talented duo of Paul King and Simon Farnaby it becomes another heartwarming story of a kind person who just wants to make the world a better place. Even if it feels its run time more than King and Faranby's previous work it still remains thoroughly entertaining and emotionally investing.Timothée Chalamet lacks the darker edge with this interpretation of Willy Wonka and that really doesn't matter considering what the film is going for. His Wonka is innocent to a fault, morally pure with a high level of quirk that Chalamet is able to communicate in his enunciation and movement. It's a nice change of pace compared to his usual roles.The supporting cast is full of comedians who take it in turns stealing scenes. Hugh Grant's Oompa Loompa is an uncanny highlight who takes a while to appear and is absolutely worth the wait. Paterson Joseph excels at playing a full on pantomime villain complimented by Matt Lucas and Matthew Baynton to make for a delightfully evil trio.Paul King's direction brings the expected whimsy with a nice level of energy to the musical numbers. The songs by Neil Hannon are generally fine, suitably entertaining in the moment without staying power so it successfully goes back to Pure Imagination a few times, with Joby Talbot's score happily sprinkling it in throughout."
"imseeg","9 December 2023","
            6/10
            "," It looks the part, the actors are terrific, but the actual story and the songs fail to really excite me.
","Memories of Gene Wilder's Willy Wonka performance come to mind and whereas his 1971 version was magical and witty, this 2023 version of Wonka is a bit underwhelming to be honest...The bad: the songs just dont excite me. They just dont. They are not terrible, but quite average. The songs in the 1971 version of Willy Wonka were superb. I can still remember them to this very day!More bad: there is a lack of magic and surprise. The story just doesnt take me on a trip like the original did. Sorry, that I keep comparing this one to the original. Perhaps I shouldnt?Not any good then? This movie will surely please the young kids who ofcourse are the target audience for this movie. It's a nice fantasy musical movie for sure, with a bunch of TERRIFIC English actors, who lift this movie up. Timothee Chalamet did an allright job as well.Nothing to really dislike about it, but nothing to get really excited about it either unfortunately, for me as a grownup fan of the original Willy Wonka with Gene Wilder."
"DeltaHomicide","6 December 2023","
            9/10
            "," An Imaginative Fantastic Journey
","I went into this piece of cinema blind, taking a half day off work to take my young daughter to see it at the theater.Boy, was I happy to do so. The story is original, the actors superb, the music phenomenal, and the production was stupendous. It's a visual and auditory feast for the senses. I even shed a little tear at the end.Fans of the original will love it, and as mentioned, my little girl who's normally quite antsy watching anything outside of an animated feature was glued to her seat. I can't wait to watch it again with the family. This is a big win for the fantasy / musical genre of film."
"Sleepin_Dragon","8 December 2023","
            8/10
            "," A perfect festive treat.
","Ever wonder how Willy Wonka made it, how he would one day be in a position to one day send out those golden tickets? This film gives us Willy Wonka's early years.I had high hopes for it, I was not disappointed, I loved it. A movie of pure fantasy, wonder and escapism, this really was a wonderful, pre Christmas sweet treat.I loved the story, the energy, the laughs, and best of all, a killer performance from Timothée Chalamet, I thought he was fabulous, not quite sure i see him turning into Gene Wilder or Johnny Drop's character, perhaps the former. Olivia Colman, as always very good.If I had one criticism, I'd say that it's perhaps just a little too over produced, a little too stagey at times, clearly a painstaking amount of time and effort went into this, but in this instance, less could have been more.Is this the reason why Dune 2 was delayed? With Chalamet rightly deserving The plaudits for his performance here?8/10."
"Padreviews","14 December 2023","
            10/10
            "," Come with me to a world of your imagination
","WOW just wow this exceeded my expectations by a long way , I don't really rate the Tim Burton remake with his stablemate Jonny Depp it misses the charm of the cult classic 1971 sleeper hit with Gene Wilder but this was a brand new story , a brand new musical with instantly loveable songs & thankfully the song we weee all waiting for being added to full effect at just the right moment. The common theme here is good vs evil & corporate greed suppressing the competition using corruption with good trumping over evil as only Hollywood can do , the sets were amazing using Harry Potters leaveden studios merged with scene of Somerset's gem Bath city . Story , acting and cinematography all absolutely brilliant and the back story was as emotional as Oliver , this has all the makings of a cult classic and great stage musical very much similar to the greatest show - go see itPad. A 10/10."
"BA_Harrison","8 December 2023","
            3/10
            "," The Candy Man can't.
","Willy Wonka (Timothée Chalamet) dreams of opening a chocolate shop in the city, but is plagued by bad luck, tricked into becoming a slave for nefarious hotel proprietors Mrs. Scrubbit (Olivia Coleman) and Bleacher (Tom Davis), and then targeted by the chocolate cartel, who see to it that Wonka's enterprise is a failure. Fortunately, help comes in the form of orphan Noodle (Calah Lane) and Wonka's co-workers in the hotel laundry.This latest film inspired by Roald Dahl's classic is a sickly confection, the main ingredients being forgettable songs, a predictable plot, and insipid humour, with another drippy performance from Chalamet as the titular chocolatier.Wonka has none of Dahl's deliciously dark content -- by the end of this overly saccharine tale, which ladles on the schmaltz, I actually felt a little queasy; the 2005 Tim Burton/Johnny Depp movie wasn't great, but at least I didn't want to hurl by the end of it. Putting it in chocolate terms, Wonka is the cinematic equivalent of an American chocolate bar, with its pukey aftertaste, not 'a glass and a half' of delicious British chocolate (anyone who has ever compared the two will know what I mean).On a slightly more positive note, Hugh Grant puts in the only commendable performance as an Oompa-Loompa, and some of the visuals are impressive (although the film relies far too heavily on CGI).3/10."
"ubik-79634","6 December 2023","
            6/10
            "," Rather fun but too calibrated and polished
","Origin stories can be hit (""Wicked"" the musical) or miss (who even remembers ""Oz the Great and Powerful""?). On that scale ""Wonka"" is closer to hit than miss, although it's far from a masterpiece. The film is funny, and has a number of witty ideas (many of which make it in the trailer, like the fine against daydreaming). It also has delicious characters, starting with Hugh Grant's Oompa Loompa, the real memorable character of the piece. It all rings true to the spirit of Roald Dahl, although the double missing mommy storyline felt somewhat forced. What prevents this movie from being great, however, is that it often stays in safe, blockbuster-friendly territory, and resists the Call of the Absurd that could have transcended it. The film is often more amusing than really funny and rather more cute than touching, while its dose of whimsy always feels extremely calibrated, like its CGI visuals. Yet it was easy to see how putting Mr Bean and a runaway giraffe together in a church could have led to wilder results than what we are ultimately given. Or how Keegan-Michael Key as the chief of police could have brought more as a supporting character. Maybe it's remembering Tim Burton's brand of humor, which was already in decline when he made ""Charlie and the Chocolate Factory"" and yet felt more satirical than this very tame ""Wonka"". Or maybe seeing sweet, cloying Chalamet in a fantasy version of Paris reminded me of ""The French Dispatch"" and Wes Anderson's inimitable take on whimsy. In fact, if you really want a memorable take on Dahl, you should check out Anderson's short movies - I find them more personal and authentic than this very corporate friendly, very safe ""Wonka""."
"bb52366","9 December 2023","
            10/10
            "," Loved It!
","As someone who grew up watching the Gene Wilder version, I will admit I was hesitant about this film especially after the lackluster trailers. That being said, five minutes into the film I realized I was in for a delicious treat.The simplest way I can describe this new Wonka is beautiful. I remember trying to spot some issues that I could put into this review while watching the film, but honestly there are none. Wonka is like a warm hot chocolate on a winter's day. Everything from the set pieces to the costume design is perfect. All of the actors involved do a great job as well, but I have to say Timothee Chalamet really carries the film.He is a fantastic young Wonka and I don't think any actor his age would've been able to pull it off like he did. I have always loved Timothee Chalamet as an actor, but this film for me cemented him as one of the best of his generation if not the best.Wonka is the only film in years that had me grinning pretty much the entire runtime. I laughed, I cried and by the end was filled with more joy than I have felt in a very long time. If that isn't enough for you to buy a ticket then I don't know what to tell you."
"magadalwarmayur","11 December 2023","
            6/10
            "," Wonka: A Whimsical, Chaotic Feast for the Eyes and for the eyes only
","Wonka, the latest film from director Paul King, takes us on a journey into the fantastical world of Willy Wonka's early life. While the film is visually delightful and boasts a strong performance from Timothée Chalamet, its chaotic story and forgettable music leave it feeling bittersweet.Chalamet shines as a young Willy Wonka, brimming with youthful enthusiasm and boundless creativity. His performance is a welcome departure from the more jaded interpretations of the character, injecting a much-needed dose of innocence and wonder. Olivia Colman and Hugh Grant round out the cast with memorable supporting roles, adding humor and depth to the film.The film's greatest strength lies in its visual feast. The vibrant sets and costumes bring the Chocolate Factory to life in all its fantastical glory, creating a truly immersive experience for the audience. King's signature whimsical style shines through, crafting a lighthearted and enjoyable atmosphere that is sure to captivate children and adults alike.However, Wonka's charm is somewhat diminished by its chaotic story. The plot feels convoluted and lacks focus, making it difficult to follow at times. This is further exacerbated by the film's foray into musical territory. While the songs are visually stunning, they are unfortunately plagued by generic melodies and forgettable lyrics. They ultimately feel disconnected from the narrative, serving as unwelcome interruptions rather than emotional enhancements.While not quite reaching the heights of King's Paddington films, Wonka manages to entertain with its whimsical tone and charming performances. Fans of Chalamet and visually stunning musicals will likely find much to enjoy. However, those seeking a more focused and emotionally resonant experience may find themselves left wanting. Overall, Wonka is a visually delightful and whimsical film that ultimately feels like a mixed bag of treats, leaving one with a taste of both satisfaction and disappointment."
"jgeorge4","17 December 2023","
            5/10
            "," I Don't Think Hollywood Can Make Good Movies Anymore
","I really had high hopes for this movie. Finally, I thought, Hollywood can take a step back from their incessant superhero schlock and do something genuinely creative and genuinely entertaining. And it seemed to be getting good reviews!Within the first thirty minutes, however, it becomes apparent this is a very drab, tedious affair. Somehow they managed to turn Willy Wonka into a joyless tale. If anything, it seemed to be slipping into ""Les Miz"" territory, and I was kind of hoping Olivia Colman might just go ahead and belt out ""Master of the House.""One of the few redeeming qualities is Hugh Grant as a sophisticated Oompa-Loompa. Aside from that, the supporting characters are horrible, the music instantly forgettable, and the plot is muddled and tedious, pulling at your emotions with tales of dead mothers and orphans rather than merry Wonkaesque mayhem.For Pete's sake, they were handed the keys to create Willy Wonka's origin story and they couldn't even make it watchable.Hollywood, just give up."
"pete-murphy97","9 December 2023","
            7/10
            "," Wonka, or Plonker?
","Paul King, the director behind the enchanting Paddington films entered the fold to direct a prequel to Gene Wilder's Charlie and the Chocolate Factory. Unfortunately, this outing is overproduced and overdone. And just like chocolate; some things are best had in moderation. Roald Dahl's work in recent times has regrettably been tampered with to remove language related to race, gender, weight, and mental health that today's readers might deem offensive. This film feels like a continuation of that craven desire to be inoffensive. The result is a slightly safe and garden variety end-product which isn't much of a tribute to Dahl, if it even wanted to be.For me, all things Willy Wonka should be almost like an experiential hallucination; self-contained, a bit mysterious, and open to interpretation, without the need for any elaborate backstory spelling things out. Wonka should be an experience, not a storyboard. He ought be unpredictable, a one-off. In the book he is innovative, flamboyant, stubborn, arrogant, and authoritarian. We saw the innovative and the flamboyant, but none of the rest. Or how those latter qualities might have taken, or were taking, shape. Timothee Chalamet's portrayal, for all its innocent charms and trinkets, simply did not have the comedic and deliciously unpredictable edge of either Wilder or Depp's Wonkas; the dimensionality just wasn't there. That ""edge"" would have bounced off the sassiness of the stubborn Oompa Loompa perfectly, helping the audience to see how Wonka wins them over (besides just a paltry supposed bribe of chocolate tasting). Here, it's Hugh Grant outsmarting, outshining, and outwitting a bumbling wide-smiling, bright-eyed and bushy-tailed Wonka in most of the scenes they share. The musical genre of this film wasn't a bad call, given the iconic hit of Wilder's ""Pure Imagination,"" why not try out a musical style? The original songs here could have a little more oomph, though, lyrically and musically. The trio of main villains were excellently cast, with Matt Lucas, Paterson Joseph (stealing the show), and Mathew Baynton. All three were a treat to see on-screen.Overall this film is relatively unchallenging for children compared to Wilder's 1971 work under the original source material, or Tim Burton's satirical 2005 outing. Imagining Willy Wonka as sweet, cloying and one-toned as he's shown here with Chalamet doesn't quite hit the sweet spot.6.8/10."
"chris_rowe-881-168820","13 December 2023","
            8/10
            "," Not every film needs an album.
","This was for me not quite the level of the original but better than Depps version. What I found most distracting was the endless need for songs where they weren't really needed, they weren't memorable or catchy they just felt lazy and forced, like every kids movie now seems to be full of music.The acting part was far better, story was sweet, solid and flowed nicely, a lot of fun cameos that most English tv fans will recognise, the design and costumes were great and the special effects were awesome to. Hugh grants little orange man was a highlight as was the talented girl who played noodle.Biggest floor... TC for me hasn't got a great voice for singing."
"Larsii90","17 December 2023","
            6/10
            "," Missing that Oomph
","Listen, I liked this movie. It was good, I just wished it gave me more. Felt like there was some underutilizing of potential, so it felt s little hollow for me.It didn't tug on my heart strings or emotions ever, but it made it chuckle and Timothee was great as Wonka. A lot of unecessary singing. I can fully get into a good musical if the songs are good and properly placed and spread out, but I can't stand it when they sing songs just to sing, when they could just... talk. Some of the songs the movie weren't really catchy or even good, and felt pointless.Positives: great casting, funny, beautiful sets and costumes. Could watch it at home just to watch a cozy movie (if you're into musicals), but not worth seeing in the theaters like I did."
"napchier","13 December 2023","
            2/10
            "," Weak
","I would suggest watching only the trailer and, with memories of what you may have seen and read before, let that light up a little ""Pure Imagination,"" and leave it there. Don't go and see this film.The musical is built around the ""Pure imagination"" track from the original movie, however hasn't done much in it's attempts to spring board from there, creating rather a drab and uninspired musical around that!They shouldn't have used that original song, not really, in that it appears to have revealed a considerable lack of musical talent, in so far as the new songs are concerned, within a musical production, in this case!The musical whimpered on throughout a meaningless story, it all felt rather uninspired, with consideration to what came before it, featuring not a single character of interest, going on to fizzle out leaving nothing at all. I'm struggling to write about it in fact, it being almost entirely forgettable.Timothy's Wonka, the character, is actually very good, as are some of the villains within this, however everything else simply fails to leave a mark. Some rather bad story telling in this one. I'm quite shocked about this to be honest!"
"tarascopablo","12 December 2023","
            7/10
            "," Good movie with many problems
","First of all... This new take on a young Wonka is actually fresh and interesting. We were used on Wonka being a secondary character of Charlie and the golden ticket story.The movie is well crafted but it has serious problems:i) Chalamet is a fantastic actor and has the potential to be one of the great ones of his generation BUT he was a miscast. Im sorry, but i just don´t see him as Wonka.Ii) Part of what makes a musical great is that the songs and numbers are meant to be remarkable and catchy. After almost 80 years, people still sing singin´in the rain yet Wonka has no memorable song or tune except for the Oompa Loompa bit that was taken straight outta the original one.To me, this 2 flaws are terrible and make it a bad Wonka movie and a bad musical but taking those out of the equation, it is actually a good film.Enjoy it with your loved ones,Stay safe and happy holidays."
"gogarrett","18 December 2023","
            6/10
            "," Did not hit the mark I expected
","This movie seemed to have it all. All of the actors played parts well and Timothee Chalamet is certainly fun to watch. The bits with the Oompah Loompa, played by Hugh Grant, should have been expanded. The sets, costumes and special effects were amazing. The music was from the original Wonka movie so that was nice. The story was almost completely new which I hoped to be nice too. Not so much. The spark I was looking for in the new story was missing for me, even though the actors and director were clearly giving it their best shot at it. I think the writing was the culprit. I was a bit bored in parts. If the writers were looking to get laughs, I don't recall breaking a smile more than once or twice and I think it was something that Rowan Atkinson was doing as the Priest. I did not hear anyone laugh in the theater the whole time. Most of the jokes I think we were supposed to laugh at were pretty lame. I will not be recommending this movie to any adult or child I know. I don't see it appealing to any age unless they are big fans of someone appearing in the film."
"elvir-806-821395","9 December 2023","
            5/10
            "," So much potential ruined with an average story
","I expected sooo much more from Wonka. Charlie and the Chocolate factory was my favourite book in my childhood, I watched both movies many times and my kids took that passion from me and my wife. We were looking forward to see Wonka, but then we were all disappointed.Movies is not bad, it's fairly entertaining, kids liked it, but we all agreed it's nowhere close to Tim Burton's movie. There was huge potential to bring some new magic into the chocolate world of Willy Wonka, but they failed to do that.During the movie, I never once felt the irresistible craving for chocolate, even though I'm a big fan of sweets. That's an unforgivable mistake. In Burton's film, I enjoyed the world of chocolate, from the beginning until the end. Also, the story is very average, focused mainly on the negative aspects of the world we live in. I don't know if they wanted to make a chocolate Oliver Twist, but the combination of the magical world of chocolate and the harsh realism of Charles Dickens just doesn't work together. I'm not dissatisfied with the film, but I am disappointed because it could and should have been much better, more magical, more appealing, and - tastier."
"dan_slentz","19 December 2023","
            6/10
            "," Don't Expect Previous Wonka's - But Worth Watching & Why..
","Reel Tunez, The Radio Show All About the Movies - Movie Review (12/16/23): ""Wonka"". First thing to know is to NOT expect either previous version of the movie related to the character. It's neither Gene Wilder or Johnny Depp's version. It's not about a kid coming to the factory after getting a gold ticket. Nothing like that.. so don't expect it. This is Willy's return after going to Oompa Loompa Land and wanting to start making chocolate. Knowing that will help you by not having wrong expectations. In this case, Willie goes up against a ""gang of three different chocolatiers"" (one is Slugworth).The movie is worth seeing.. and it's a movie event, but be aware that it certainly feels more like a stage play in some respect as the acting is ""big"".. as if exaggerated and animated, as if it's being played TO an audience.Timothee Chalamet does a nice job as Willy Wonka, but he fortunately doesn't have the craziness of Depp's Wonka, but neither quite the warmth or interesting appeal as Wilder's Wonka. Don't expect Wilder or Depp's Wonkas, and that will also help your expectations.Though this isn't a musical, there's a fair bit of music and songs in this new version. Some of the music is a bit campy, but some of the music and songs WILL bring back fond memories of the Gene Wilder version of ""Willy Wonka and the Chocolate Factory"".I can say that for about the first half of the movie, I really wasn't enjoying this new version of the movie much.. but after about half way through the movie, I started to like and appreciate this movie for what IT is, and not what it isn't (which is like the other two).As I said, do NOT expect the previous other two Wonka movies and look for something completely new. If you go into it and keep a ""clean slate"" image and appreciate it as a brand new movie, I think you'll like it more.Only other note is that Chalamet sings in the movie, and he's not bad, but he's also not as good as an actor like Hugh Jackman (who is an actor who is also an excellent singer.. and other similar actors with well-trained singing voices).The story line is a good one, and the acting is very good by Wonka and the others who are ""in debt"" (you'll understand if/when you see the movie), but the actors portraying the chocolatiers and police are more like the over-acting characters from Chitty Chitty Bang Bang (cartoonish in their over-acting). I'd give this movie a 6.2 and say that it's definitely worth seeing.. and seeing on a big screen. I think if the director had taken this movie a little less ""Chitty Chitty-ish"", I would be up in the mid 7 rating... or even a little higher. Go see Wonka at the theater!"
"jp_91","7 December 2023","
            8/10
            "," ""Wonka"" shines as a great movie for the Christmas season.
","""Wonka"" is a pleasant prequel to ""Willy Wonka & the Chocolate Factory"", the script achieves a perfect story for the holiday season and for the whole family, with a simple but effective comedy and good dramatic moments that are strong points for the film production. The production level is excellent, the costume design manages to be fun and the performances are good, especially that of Timothée Chalamet as Willy Wonka, in addition to a successful special performance by Sally Hawkins. The musical numbers are well choreographed and managed to be performed by the voices of the entire cast. One negative thing to highlight are the digital special effects that look fake in every scene in which they are added. The editing work is of a good level. The music composed for the film has potential and is enjoyable. ""Wonka"" shines as a great movie for the Christmas season."
"kevin_robbins","18 December 2023","
            4/10
            "," Wonka stands out as a significant disappointment for 2023
","My wife and I caught Wonka (The 2023) in theaters last night. The storyline traces Wonka's lifelong journey to perfect the art of chocolate-making, inspired by his long-lost mother. With dreams of opening his own shop, Wonka faces financial constraints and navigates a world of labor and manipulation. The question remains: can he forge new friendships and still achieve his goals?Directed by Paul King (Paddington), the film stars Timothée Chalamet (Dune), Olivia Colman (The Lobster), Calah Lane (The Day Shall Come), Keegan-Michael Key (The Predator), and Rowan Atkinson (Bean).This movie proves to be a frustrating and uneven experience, lacking a cohesive element throughout. The dialogue feels inauthentic, the songs fail to captivate, and the overall storyline, while okay, leaves something to be desired. Although there are worthwhile subplots, such as the mom backstory, there are also misses like the Noodle character that doesn't quite land. Despite standout performances from Hugh Grant and the sweatshop owners, the feel still falls flat. The villains, settings, and attire are commendable, but Timothée Chalamet's portrayal of Wonka leaves something to be desired-missing the eerie and slightly scary essence the character demands.In conclusion, Wonka stands out as a significant disappointment for 2023. While I would rate it a 4/10, I'd still recommend watching it once to form your own opinion."
"traceypc-90760","11 December 2023","
            2/10
            "," Disappointed
","Oh so disappointed with this film. Been looking forward to it being released, I mean who doesn't love Willy Wonka.45 minutes into the film I was looking at my watch. I was so bored. The music was awful, the singing even worse. The story was terribly weak and very dull. I couldn't care less. I couldn't get invested in any of the characters apart from Hugh Grant who was adorable. He was the only character that kept me marginally entertained.The snowy cold scenes made it feel Christmassy, a bit like a Dickensian film which was okay. It just lacked magic. It could have been so much more.I just wanted to leave the cinema. If I had gone to watch this film on my own, I would have left."
